Date,"4 WEEKS BANK DISCOUNT","4 WEEKS COUPON EQUIVALENT","8 WEEKS BANK DISCOUNT","8 WEEKS COUPON EQUIVALENT","13 WEEKS BANK DISCOUNT","13 WEEKS COUPON EQUIVALENT","17 WEEKS BANK DISCOUNT","17 WEEKS COUPON EQUIVALENT","26 WEEKS BANK DISCOUNT","26 WEEKS COUPON EQUIVALENT","52 WEEKS BANK DISCOUNT","52 WEEKS COUPON EQUIVALENT"
04/19/2023,3.68,3.75,4.79,4.91,5.01,5.16,5.06,5.23,4.89,5.10,4.59,4.84
04/18/2023,3.69,3.76,4.79,4.91,5.04,5.19,5.04,5.21,4.88,5.09,4.57,4.81
04/17/2023,3.95,4.03,4.81,4.93,5.06,5.21,5.08,5.25,4.86,5.07,4.61,4.85
04/14/2023,4.18,4.26,4.79,4.91,4.98,5.12,5.01,5.18,4.83,5.03,4.59,4.82
04/13/2023,3.98,4.06,4.79,4.91,4.95,5.10,4.94,5.11,4.75,4.95,4.48,4.71
04/12/2023,4.04,4.12,4.68,4.79,4.87,5.01,4.95,5.12,4.78,4.98,4.46,4.68
04/11/2023,4.09,4.17,4.68,4.79,4.89,5.03,4.91,5.07,4.79,4.99,4.48,4.71
04/10/2023,4.39,4.48,4.69,4.80,4.94,5.09,4.93,5.10,4.78,4.98,4.46,4.69
04/07/2023,4.43,4.52,4.73,4.84,4.81,4.95,4.92,5.08,4.75,4.95,4.42,4.64
04/06/2023,4.44,4.53,4.69,4.80,4.77,4.91,4.83,4.99,4.74,4.94,4.35,4.57
04/05/2023,4.48,4.57,4.61,4.72,4.72,4.86,4.76,4.92,4.63,4.82,4.25,4.46
04/04/2023,4.52,4.61,4.65,4.76,4.74,4.88,4.76,4.92,4.61,4.80,4.31,4.53
04/03/2023,4.56,4.65,4.64,4.75,4.77,4.91,4.83,4.99,4.69,4.88,4.39,4.61
