Learning Rate,Momentum Constant,Train Iterations,Layer Dimemsions,Accuracy
0.0002,0.9902642522182171,1000000,241 10,87.6
0.00030000000000000003,0.7754093907109775,1000000,157 95 57 29 10,9.9
0.05,0.9268275402661401,10000,220 104 10,84.1
0.0001,0.9808879815612201,1000000,232 90 61 10,9.9
0.0004,0.9522226040998095,1000000,185 10,87.8
0.004,0.9943359830840236,50000,194 70 10,84.0
0.004,0.9018991618880484,50000,155 115 54 23 10,9.9
0.0007,0.9785063154319473,1000000,238 85 55 28 10,9.9
0.02,0.912845335036792,10000,201 78 34 10,9.9
0.08,0.9375418067070534,10000,243 10,87.4
0.09,0.9105230007883522,10000,182 111 50 10,78.9
