Provider,Definition,6 AM,7 AM,8 AM,9 AM,10 AM,11 AM,12 PM,1 PM,2 PM,3 PM,4 PM,5 PM,6 PM,7 PM,8 PM,9 PM,10 PM,11 PM,12 AM,1 AM,2 AM,3 AM,4 AM,5 AM
AT&T - Other,HD,88%,89%,90%,91%,91%,92%,92%,92%,92%,92%,92%,92%,92%,92%,93%,93%,93%,93%,90%,92%,91%,90%,90%,89%
AT&T U-verse,HD,88%,90%,91%,91%,92%,91%,92%,92%,92%,92%,91%,92%,91%,92%,93%,93%,94%,93%,92%,92%,92%,91%,90%,89%
Charter Communications,HD,90%,94%,95%,94%,90%,93%,91%,94%,95%,96%,96%,96%,95%,96%,94%,92%,94%,91%,95%,96%,96%,95%,92%,93%
Grande Communications,HD,96%,98%,94%,92%,94%,95%,95%,97%,96%,91%,94%,94%,78%,94%,94%,95%,97%,95%,97%,76%,70%,87%,95%,88%
Suddenlink,HD,95%,79%,93%,87%,92%,94%,94%,92%,93%,94%,97%,97%,96%,95%,96%,93%,89%,95%,89%,94%,95%,94%,89%,91%
Xfinity by Comcast,HD,90%,90%,91%,91%,92%,92%,92%,93%,93%,93%,93%,93%,93%,93%,94%,94%,94%,94%,92%,93%,92%,91%,90%,90%
CCI,SD,75%,58%,68%,78%,88%,88%,85%,89%,91%,88%,88%,82%,81%,96%,94%,92%,95%,88%,72%,81%,73%,62%,57%,72%
CenturyLink,SD,95%,93%,92%,93%,92%,91%,88%,89%,89%,86%,87%,85%,87%,83%,84%,85%,94%,92%,90%,92%,95%,94%,96%,96%
Windstream Communications,SD,83%,79%,71%,84%,81%,80%,81%,80%,69%,86%,87%,92%,92%,91%,87%,84%,85%,71%,75%,97%,96%,97%,45%,81%
SBISD,LD,41%,77%,82%,81%,81%,44%,74%,72%,74%,83%,91%,14%,100%,100%,98%,100%,100%,6%,3%,99%,100%,12%,29%,8%
