timestamp,temperature value,temperature qualityControl,dewpoint value,dewpoint qualityControl,windDirection value,windDirection qualityControl,windSpeed value,windSpeed qualityControl,windGust value,windGust qualityControl,barometricPressure value,barometricPressure qualityControl,seaLevelPressure value,seaLevelPressure qualityControl,visibility value,visibility qualityControl,precipitationLastHour value,precipitationLastHour qualityControl,precipitationLast3Hours value,precipitationLast3Hours qualityControl,precipitationLast6Hours value,precipitationLast6Hours qualityControl,relativeHumidity value,relativeHumidity qualityControl,windChill value,windChill qualityControl,heatIndex value,heatIndex qualityControl
2024-09-02 00:55:00,33.6,V,14.1,V,310,V,16.668,V,null,Z,101117.57,V,100930,V,16093.44,C,null,Z,null,Z,null,Z,30.905376489516,V,null,V,32.90745330845611,V
2024-09-01 23:55:00,35.7,V,13.8,V,320,V,18.36,V,null,Z,101150,V,100970,V,16090,C,null,Z,null,Z,null,Z,26.972423040295,V,null,V,35.03639554691166,V
2024-09-01 22:55:00,36.4,V,14.9,V,290,V,18.36,V,null,Z,101150,V,100970,V,16090,C,null,Z,null,Z,null,Z,27.866999648316,V,null,V,36.24563586025056,V
2024-09-01 21:55:00,35.8,V,14.4,V,320,V,16.668,V,null,Z,101219.16,V,101030,V,16093.44,C,null,Z,null,Z,null,Z,27.887376566387,V,null,V,35.37200940420111,V
2024-09-01 20:55:00,35.5,V,15.2,V,320,V,20.52,V,null,Z,101320,V,101140,V,16090,C,null,Z,null,Z,null,Z,29.852426517542,V,null,V,35.371267771086664,V
2024-09-01 19:55:00,34.8,V,15.1,V,320,V,20.52,V,null,Z,101320,V,101130,V,16090,C,null,Z,null,Z,null,Z,30.833011906612,V,null,V,34.55803738352111,V
2024-09-01 18:55:00,33.7,V,14.7,V,330,V,16.56,V,null,Z,101390,V,101200,V,16090,C,null,Z,null,Z,null,Z,31.948166979925,V,null,V,33.222830458303335,V
2024-09-01 17:55:00,33.5,V,13.5,V,320,V,11.124,V,null,Z,101422.34,V,101250,V,16093.44,C,null,Z,null,Z,null,Z,29.891321015054,V,null,V,32.612889717889445,V
2024-09-01 16:55:00,29,V,17,V,330,V,5.4,V,null,Z,101460,V,101300,V,16090,C,null,Z,null,Z,null,Z,48.353424176576,V,null,V,29.464273519821113,V
2024-09-01 15:55:00,27,V,16,V,320,V,5.4,V,null,Z,101420,V,101240,V,16090,C,null,Z,null,Z,null,Z,50.986771578907,V,null,V,27.47766784747167,V
